title;starttime;endtime;location;abstract
Eröffnungsveranstaltung - Begrüßung durch HfM Freiburg/GMTH/Kongressteam;2023-09-22 10:00;2023-09-22 10:15;Wolfgang-Hoffmann-Saal;
Preisverleihung des 13. Aufsatz-Wettbewerbs der GMTH;Thu, 22 Sep 2023 12:30:00 CEST;Thu, 22 Sep 2023 12:45:00 CEST;Wolfgang-Hoffmann-Saal;
Kunst & Forschung im Konzert;2023-09-22 20:00;2023-09-22 21:30;Wolfgang-Hoffmann-Saal;"- UA der prämierten Beiträge des künstlerischen Wettbewerbs der GMTH
- Lecture-Performance von Ralf Schmid: PYANOOK Flow & Motion – eine neue Perspektive auf interaktive Performance

mit Mitgliedern des Ensemble Aventure, Promovierenden des Europäischen Doktorandenkollegs für musikalische Interpretation und künstlerische Forschung/Collège doctoral européen d’interprétation et de création musicales (CDE ICM), Studierenden der Hochschule für Musik Freiburg und Ralf Schmid";
Kunst & Komposition zwischen Forschung & Fälschung;2023-09-23 20:00;2023-09-23 21:30;Wolfgang-Hoffmann-Saal;"Podiumsgespräch mit Wolfgang Beltracchi, Johannes Menke und Johannes Schöllhorn sowie mit musikalischen Beiträgen; Moderation: Philipp Teriete.";
Studierendenfrühstück;2023-09-24 8:30;2023-09-24 9:30;Raum 156;
GMTH-Mitgliederversammlung;2023-09-24 9:30;2023-09-24 12:00;Kammermusiksaal;
Abschlussveranstaltung mit Podiumsgespräch;2023-09-24 12:00;2023-09-24 13:30;Foyer/Kammermusiksaal;Mit Benjamin Lang, Arabella Pare, Kilian Sprau und Christian Utz, Moderation: Cosima Linke.;
